iter	Passed	Remaining
0	137	137077
1	138	68978
2	139	46207
3	139	34815
4	140	27997
5	141	23433
6	142	20176
7	143	17733
8	143	15832
9	144	14313
10	145	13060
11	145	12017
12	147	11171
13	148	10435
14	149	9819
15	150	9267
16	152	8824
17	154	8412
18	155	8004
19	156	7668
20	157	7335
21	158	7032
22	158	6748
23	159	6492
24	160	6254
25	161	6032
26	161	5828
27	162	5637
28	163	5459
29	163	5292
30	165	5170
31	166	5048
32	169	4954
33	169	4826
34	170	4702
35	171	4588
36	172	4479
37	172	4374
38	173	4274
39	174	4180
40	175	4093
41	175	4009
42	176	3932
43	177	3855
44	178	3780
45	178	3708
46	180	3660
47	181	3596
48	181	3531
49	182	3470
50	183	3412
51	184	3356
52	184	3302
53	185	3249
54	186	3198
55	186	3148
56	187	3100
57	188	3054
58	188	3010
59	189	2967
60	190	2927
61	191	2894
62	195	2900
63	196	2869
64	197	2838
65	198	2807
66	199	2774
67	199	2736
68	200	2709
69	201	2682
70	202	2654
71	203	2627
72	205	2606
73	205	2576
74	206	2548
75	207	2522
76	208	2505
77	209	2481
78	210	2457
79	211	2432
80	212	2408
81	212	2384
82	213	2360
83	216	2358
84	216	2333
85	217	2311
86	218	2288
87	218	2268
88	219	2248
89	220	2227
90	220	2207
91	221	2188
92	222	2168
93	223	2157
94	224	2142
95	225	2126
96	226	2109
97	227	2092
98	228	2076
99	228	2060
100	229	2044
101	230	2025
102	230	2010
103	231	1994
104	232	1980
105	233	1965
106	233	1950
107	234	1936
108	235	1922
109	236	1909
110	236	1896
111	237	1883
112	239	1876
113	240	1866
114	240	1854
115	241	1840
116	242	1828
117	243	1816
118	243	1802
119	244	1791
120	244	1779
121	245	1767
122	245	1753
123	246	1743
124	247	1732
125	248	1721
126	248	1711
127	249	1699
128	250	1689
129	250	1679
130	251	1668
131	252	1658
132	253	1649
133	254	1644
134	255	1636
135	256	1627
136	257	1619
137	257	1610
138	258	1601
139	259	1593
140	260	1587
141	261	1579
142	262	1570
143	262	1562
144	263	1554
145	264	1546
146	265	1539
147	266	1532
148	266	1524
149	267	1516
150	269	1516
