iter	Passed	Remaining
0	145	145098
1	146	73211
2	147	49057
3	148	36970
4	149	29745
5	150	24907
6	151	21433
7	151	18826
8	152	16806
9	153	15170
10	153	13843
11	154	12741
12	155	11804
13	156	11015
14	157	10320
15	159	9810
16	160	9285
17	161	8799
18	162	8366
19	162	7976
20	163	7625
21	164	7303
22	165	7009
23	165	6739
24	166	6491
25	167	6264
26	168	6054
27	168	5857
28	169	5673
29	170	5506
30	171	5346
31	172	5211
32	173	5093
33	174	4961
34	175	4838
35	176	4719
36	176	4605
37	177	4498
38	178	4395
39	179	4299
40	179	4208
41	180	4120
42	181	4036
43	182	3956
44	183	3884
45	183	3811
46	184	3741
47	185	3673
48	187	3634
49	188	3582
50	189	3523
51	190	3464
52	190	3407
53	191	3351
54	191	3298
55	192	3245
56	193	3196
57	193	3148
58	194	3101
59	195	3056
60	196	3017
61	196	2974
62	197	2934
63	197	2894
64	198	2855
65	199	2817
66	199	2780
67	200	2744
68	202	2729
69	203	2699
70	203	2665
71	204	2633
72	204	2601
73	205	2571
74	206	2541
75	206	2512
76	207	2484
77	207	2457
78	208	2430
79	209	2404
80	209	2379
81	210	2355
82	210	2330
83	211	2306
84	212	2283
85	212	2261
86	213	2238
87	213	2217
88	214	2196
89	216	2185
90	217	2170
91	217	2150
92	218	2131
93	219	2112
94	219	2093
95	220	2074
96	220	2055
97	221	2037
98	222	2021
99	222	2005
100	223	1988
101	223	1971
102	224	1955
103	225	1940
104	225	1924
105	226	1909
106	226	1894
107	227	1879
108	228	1864
109	228	1850
110	230	1845
111	231	1837
112	232	1825
113	233	1812
114	233	1799
115	234	1787
116	235	1776
117	235	1763
118	236	1751
119	237	1738
120	237	1724
121	237	1712
122	238	1701
123	239	1689
124	239	1678
125	240	1667
126	240	1655
127	241	1644
128	242	1633
129	242	1623
130	243	1612
131	244	1610
132	246	1603
133	246	1594
134	247	1584
135	247	1574
136	248	1564
137	248	1555
138	249	1545
139	250	1536
140	250	1527
141	251	1518
142	251	1508
143	252	1499
144	252	1490
145	253	1482
146	254	1474
147	254	1465
148	255	1457
149	255	1449
150	256	1441
151	256	1433
152	257	1425
153	258	1417
154	259	1414
155	260	1409
156	261	1402
157	261	1394
158	262	1387
159	262	1380
160	263	1373
161	264	1366
162	264	1359
163	265	1352
164	265	1345
165	266	1338
166	267	1331
167	267	1325
168	268	1318
169	268	1312
170	269	1305
171	269	1299
172	270	1293
173	271	1286
174	271	1280
175	272	1274
176	274	1274
177	275	1270
178	275	1264
179	276	1258
180	276	1252
181	277	1246
182	278	1241
183	278	1235
184	279	1229
185	279	1224
186	280	1218
187	280	1213
188	281	1207
189	282	1202
190	282	1197
191	283	1191
192	283	1186
193	284	1181
194	284	1176
195	285	1171
196	286	1166
197	286	1161
198	288	1163
199	289	1159
200	290	1154
201	290	1149
202	291	1144
203	292	1139
204	292	1135
205	293	1130
206	293	1125
207	294	1121
208	294	1116
209	295	1111
210	296	1107
211	296	1102
212	297	1098
213	297	1094
214	298	1089
215	299	1085
216	299	1081
217	300	1076
218	300	1072
219	301	1068
220	303	1070
221	304	1066
222	304	1062
223	305	1058
224	306	1054
225	306	1050
226	307	1046
227	307	1042
228	308	1038
229	308	1034
230	309	1030
231	310	1026
232	310	1022
233	311	1018
234	311	1014
235	312	1011
236	312	1007
